seed,model,accuracy,n_correct,n_total,train_time_s,acc_short,acc_medium,acc_long
42,Transformer,1.0,300,300,842.5117976665497,0,1.0,1.0
42,SpiderWeb,1.0,300,300,1256.9217493534088,0,1.0,1.0
123,Transformer,1.0,300,300,1121.270216703415,0,1.0,1.0
123,SpiderWeb,1.0,300,300,978.1817824840546,0,1.0,1.0
2024,Transformer,1.0,300,300,913.9125425815582,0,1.0,1.0
2024,SpiderWeb,1.0,300,300,1089.6400158405304,0,1.0,1.0
